iter	Passed	Remaining
402	11450	584595
403	11479	584575
404	11509	584610
405	11536	584535
406	11564	584456
407	11592	584431
408	11619	584303
409	11647	584268
410	11677	584351
411	11708	584419
412	11738	584466
413	11764	584307
414	11791	584242
415	11819	584169
416	11848	584190
417	11874	584055
418	11903	584056
419	11929	583905
420	11958	583902
421	11986	583830
422	12014	583810
423	12040	583665
424	12072	583796
425	12100	583749
426	12129	583767
427	12159	583775
428	12185	583636
429	12215	583719
430	12243	583662
431	12270	583581
432	12299	583552
433	12328	583554
434	12359	583634
435	12391	583769
436	12420	583796
437	12448	583752
438	12477	583726
439	12506	583750
440	12538	583879
441	12568	583934
442	12599	584035
443	12625	583876
444	12652	583774
445	12684	583898
446	12712	583843
447	12740	583800
448	12768	583748
449	12794	583632
450	12823	583615
451	12850	583535
452	12878	583493
453	12907	583471
454	12936	583468
455	12967	583555
456	12997	583618
457	13026	583622
458	13054	583552
459	13084	583588
460	13112	583559
461	13143	583654
462	13172	583647
463	13204	583738
464	13235	583857
465	13263	583785
466	13293	583816
467	13321	583780
468	13350	583772
469	13378	583734
470	13408	583768
471	13437	583754
472	13466	583772
473	13494	583698
474	13525	583786
475	13552	583698
476	13580	583634
477	13608	583599
478	13637	583582
479	13664	583513
480	13694	583555
481	13726	583676
482	13754	583631
483	13784	583640
484	13815	583705
485	13844	583740
486	13874	583746
487	13903	583757
488	13932	583747
489	13962	583774
490	13992	583790
491	14023	583879
492	14052	583867
493	14078	583763
494	14107	583731
495	14134	583630
496	14164	583663
497	14193	583687
498	14220	583586
499	14251	583661
500	14283	583753
501	14313	583802
502	14343	583829
503	14372	583827
504	14400	583768
505	14433	583932
506	14464	584007
507	14495	584051
508	14524	584068
509	14555	584150
510	14588	584265
511	14616	584213
512	14644	584187
513	14679	584415
514	14707	584341
515	14737	584391
516	14767	584410
517	14798	584470
518	14825	584385
519	14855	584403
520	14883	584371
521	14911	584332
522	14940	584315
523	14968	584258
524	15001	584396
525	15029	584359
526	15058	584329
527	15084	584226
528	15112	584170
529	15140	584109
530	15171	584178
531	15201	584206
532	15228	584118
533	15256	584060
534	15282	583952
535	15310	583895
536	15336	583764
537	15367	583827
538	15395	583789
539	15426	583822
540	15458	583934
541	15485	583867
542	15518	583986
543	15545	583911
544	15575	583915
545	15603	583864
546	15631	583821
547	15662	583895
548	15690	583831
549	15719	583840
550	15746	583752
551	15775	583711
552	15801	583615
553	15832	583651
554	15861	583648
555	15890	583622
556	15918	583572
557	15946	583516
558	15974	583498
559	16002	583433
560	16032	583467
561	16062	583477
562	16091	583461
563	16118	583377
564	16147	583365
