iter	MAE	RMSE
945	4.396426403	5.849367958
950	4.392733742	5.844926497
955	4.388880218	5.840356372
960	4.385280352	5.836245922
965	4.380997683	5.831447221
970	4.376898478	5.826939352
975	4.373578061	5.822903998
980	4.369379413	5.818389875
985	4.365789385	5.814100728
990	4.361839609	5.809647133
995	4.358186565	5.805503033
1000	4.353673637	5.800468227
1005	4.349876481	5.796299581
1010	4.346492251	5.792214421
1015	4.343440913	5.7881736
1020	4.339726714	5.783915371
1025	4.336043891	5.77977895
1030	4.332516878	5.775850961
1035	4.329661766	5.772481724
1040	4.325613611	5.768161205
1045	4.32160401	5.76327961
1050	4.318700506	5.759941795
1055	4.315581367	5.756712341
1060	4.312270256	5.752884889
1065	4.308669326	5.748492287
1070	4.305240958	5.744683982
1075	4.301989937	5.740777185
1080	4.297815751	5.736229025
1085	4.294833013	5.732792347
1090	4.291956363	5.729366973
1095	4.289106835	5.725895529
1100	4.285315529	5.721411569
1105	4.281847543	5.717522725
1110	4.278380089	5.713615039
1115	4.275995068	5.710600016
1120	4.273018977	5.707201575
1125	4.269648306	5.703350594
1130	4.266226586	5.699442522
1135	4.263049216	5.69570935
1140	4.260260044	5.692425146
1145	4.256243265	5.687803917
1150	4.253109235	5.68437295
1155	4.249794136	5.680598608
1160	4.247424802	5.677887868
1165	4.244552673	5.6747431
1170	4.241467567	5.671297855
1175	4.237926462	5.667257709
1180	4.234902511	5.663683599
1185	4.232311692	5.660581293
1190	4.229120762	5.656706846
1195	4.226262459	5.653652257
1200	4.223268819	5.650186058
1205	4.220356541	5.646657836
1210	4.21717864	5.642883524
1215	4.214573463	5.639768457
1220	4.211824174	5.636666951
1225	4.208786662	5.633350402
1230	4.20571618	5.629943113
1235	4.202683455	5.626474973
1240	4.199335119	5.622758613
1245	4.197020558	5.620065203
1250	4.193745076	5.616519386
1255	4.191184037	5.613527997
1260	4.188651713	5.610695003
1265	4.186051854	5.607555227
1270	4.183109265	5.60410094
1275	4.180383906	5.601023927
1280	4.17758596	5.598027298
1285	4.174360465	5.5944274
1290	4.171856857	5.591771318
1295	4.168671511	5.588245801
1300	4.165104349	5.584066907
1305	4.162440677	5.581235537
1310	4.159414332	5.577606114
1315	4.156341457	5.574156164
1320	4.153838648	5.571445177
1325	4.151078192	5.568345726
1330	4.148207126	5.564963806
1335	4.145463953	5.562026722
1340	4.14294519	5.55923406
1345	4.139795739	5.555587392
1350	4.137173811	5.552779042
1355	4.134893284	5.550169715
1360	4.132473698	5.547301297
1365	4.129773598	5.544144994
1370	4.127019258	5.541169428
1375	4.124013653	5.537701196
1380	4.121715843	5.534912594
1385	4.119366983	5.532011656
1390	4.116428382	5.528785068
1395	4.113675637	5.525823365
1400	4.111441108	5.523202458
1405	4.109127611	5.520607279
1410	4.106264257	5.517266458
1415	4.103871525	5.514400018
1420	4.101245874	5.511228732
1425	4.098774971	5.508437541
1430	4.096250359	5.50542104
1435	4.093866667	5.502898842
1440	4.091569123	5.500136296
1445	4.089068441	5.497393063
1450	4.085988652	5.494027672
1455	4.083951414	5.491713859
1460	4.081392501	5.488693786
1465	4.078661825	5.485648785
1470	4.076490047	5.482948737
1475	4.074023398	5.47985047
1480	4.071398013	5.476968915
1485	4.068797888	5.474020367
1490	4.066738847	5.47157447
1495	4.064730058	5.46924124
1500	4.062449531	5.466656047
1505	4.060046164	5.464016298
1510	4.057670449	5.461380725
1515	4.055607419	5.459142693
1520	4.053606075	5.4567486
1525	4.051643817	5.45452836
1530	4.049519366	5.452072354
1535	4.047183801	5.449404461
1540	4.045101627	5.446992225
1545	4.042785205	5.444604509
1550	4.040266442	5.441681032
1555	4.037706466	5.438673069
1560	4.035592385	5.436200508
1565	4.033016722	5.433318901
1570	4.030699237	5.430813744
1575	4.028329637	5.428362486
1580	4.026008429	5.425845828
1585	4.023964543	5.423769813
1590	4.021256202	5.420566695
1595	4.01886347	5.417765505
1600	4.016556886	5.415340353
1605	4.014678382	5.413293906
1610	4.012347603	5.410990778
1615	4.010341207	5.408591692
1620	4.008327632	5.406323151
1625	4.006090179	5.403615745
1630	4.003919464	5.401193888
1635	4.002158484	5.399201766
1640	4.00013454	5.397072347
1645	3.998007431	5.394599054
1650	3.996081333	5.392222852
1655	3.993832181	5.38989079
1660	3.991813821	5.387663134
1665	3.989786686	5.385429422
1670	3.987341042	5.382578134
1675	3.985232811	5.380134156
1680	3.982844333	5.377315661
1685	3.980742483	5.375120586
1690	3.978666425	5.372716568
1695	3.976736073	5.37074834
1700	3.974855177	5.368480053
1705	3.972762899	5.366135096
1710	3.970416698	5.363713171
1715	3.967642416	5.360694195
1720	3.965677765	5.358613383
1725	3.96350253	5.356318313
1730	3.96147247	5.354086224
1735	3.959985887	5.352436434
1740	3.957893609	5.350069138
1745	3.956015106	5.348153627
1750	3.954026525	5.345933845
1755	3.952201997	5.343997149
1760	3.95017433	5.341674495
1765	3.94807248	5.33939067
1770	3.946122719	5.33732387
1775	3.944497342	5.335459199
1780	3.94264915	5.33349816
1785	3.940277157	5.330957266
1790	3.938128777	5.328751677
1795	3.936112011	5.326527804
1800	3.934312743	5.324489169
1805	3.932025303	5.322080466
1810	3.92991654	5.319855803
1815	3.928161143	5.318011805
1820	3.9263648	5.316138559
1825	3.924612859	5.314403143
1830	3.922340841	5.311951424
1835	3.920569757	5.310052607
1840	3.918817817	5.30813127
1845	3.916587543	5.305827394
1850	3.914759824	5.303831937
1855	3.912954706	5.301998214
1860	3.911022493	5.299613806
1865	3.909308309	5.297673426
1870	3.907754722	5.295780334
1875	3.905810544	5.293930763
1880	3.903962352	5.291902884
1885	3.902117085	5.289924693
1890	3.900277402	5.287971707
1895	3.898397037	5.285915184
1900	3.896336932	5.283470175
1905	3.894293844	5.281025443
1910	3.89239726	5.278777433
1915	3.890295942	5.276227725
1920	3.888522997	5.274495107
1925	3.886845505	5.272717745
1930	3.884773435	5.270537829
1935	3.883140879	5.268869145
1940	3.881332836	5.266882504
1945	3.87915893	5.264541385
1950	3.877491011	5.262799462
1955	3.875629525	5.260845302
1960	3.874057059	5.258883741
1965	3.872529795	5.257332132
1970	3.870831564	5.255459721
1975	3.869095311	5.253628346
1980	3.867458767	5.251867414
1985	3.865847481	5.250042078
1990	3.863976955	5.247978393
1995	3.862471493	5.246404098
2000	3.860590065	5.244177144
2005	3.858914701	5.242278732
2010	3.85714149	5.24033275
2015	3.855429167	5.238544203
2020	3.854128174	5.237067396
2025	3.852347518	5.23519891
2030	3.850714164	5.233383816
2035	3.848748449	5.231223088
2040	3.8469311	5.229300041
2045	3.845268232	5.227637318
2050	3.843520546	5.225753861
2055	3.841948613	5.223960323
2060	3.84006878	5.221902828
2065	3.838297164	5.220139547
2070	3.836733207	5.218464937
2075	3.835080177	5.216614662
2080	3.833519677	5.214876106
2085	3.831757899	5.213008643
2090	3.830183838	5.211323579
2095	3.828683694	5.209459335
2100	3.827163609	5.207971421
2105	3.82540768	5.205968895
2110	3.823655208	5.204151372
2115	3.822218612	5.20263516
2120	3.820724584	5.20118619
2125	3.819321755	5.199504659
2130	3.817757798	5.197751172
2135	3.816191714	5.195957588
2140	3.814559956	5.194196761
2145	3.813002114	5.192615992
2150	3.811421938	5.190838459
2155	3.810033999	5.189277367
2160	3.808315029	5.187321138
2165	3.806895981	5.185900293
2170	3.805177543	5.18413605
2175	3.803804228	5.182691964
2180	3.802357794	5.181146071
2185	3.800543104	5.179188003
2190	3.799074335	5.177728363
2195	3.797490437	5.176096127
2200	3.796268678	5.17470899
2205	3.794691161	5.172966425
2210	3.79316044	5.171342352
2215	3.791498636	5.169535285
2220	3.790072941	5.167985457
2225	3.788780191	5.166416842
2230	3.78730504	5.164786385
2235	3.785610532	5.162930057
2240	3.784192548	5.161530521
2245	3.782889428	5.159945103
2250	3.781309252	5.15820621
2255	3.779664464	5.156437442
2260	3.778398303	5.155053473
2265	3.776922089	5.153414469
2270	3.775512082	5.151893027
2275	3.774028689	5.150083886
2280	3.772838305	5.148804385
2285	3.771396657	5.147312161
2290	3.769941449	5.145732077
2295	3.768376694	5.144005953
2300	3.76678535	5.142169631
2305	3.765502172	5.140800442
2310	3.764187618	5.139104739
2315	3.762811113	5.137496254
2320	3.761387811	5.136070529
2325	3.760070067	5.134802864
2330	3.758782368	5.133348214
2335	3.757218677	5.131652744
2340	3.756023242	5.130422752
2345	3.754582657	5.129056648
2350	3.753036515	5.127247538
2355	3.751693511	5.12573576
2360	3.750233783	5.124135323
2365	3.74890753	5.122853078
2370	3.747399676	5.121094944
2375	3.746007749	5.119484955
2380	3.744737864	5.118130892
2385	3.743472766	5.116806195
2390	3.74229488	5.115566605
2395	3.740884872	5.114155979
2400	3.739684651	5.11283462
2405	3.738461031	5.111551413
2410	3.737182373	5.110205863
2415	3.735845751	5.108897638
2420	3.73481623	5.107686738
2425	3.73368966	5.106502001
2430	3.732467104	5.105179494
2435	3.730969087	5.103394223
2440	3.729768866	5.102067784
2445	3.728320836	5.100432605
2450	3.727013728	5.099100181
2455	3.725750225	5.097817063
2460	3.7244487	5.096357909
2465	3.723015294	5.094886647
2470	3.721801247	5.093672416
2475	3.720664041	5.092548952
2480	3.719667756	5.091507752
2485	3.718258812	5.089829897
2490	3.717012858	5.088399177
2495	3.715839492	5.087108134
2500	3.714650172	5.08590271
2505	3.713690048	5.084869353
2510	3.712570125	5.083732437
2515	3.711537147	5.08260301
2520	3.71043371	5.081387518
2525	3.709008281	5.079838014
2530	3.708017314	5.07873662
2535	3.706992579	5.077635615
2540	3.706016767	5.076553856
2545	3.70484021	5.075117298
2550	3.703758309	5.0738801
2555	3.702640514	5.072711788
2560	3.701394825	5.071342511
2565	3.700207898	5.069954194
2570	3.69885612	5.068375384
2575	3.697545821	5.06699423
2580	3.696299601	5.065707389
2585	3.694981857	5.064284135
2590	3.693906869	5.063165704
2595	3.692812472	5.061969077
2600	3.691529825	5.060514718
2605	3.690447126	5.059365603
2610	3.689366821	5.058180903
2615	3.68840776	5.057163542
2620	3.687305386	5.055959394
2625	3.68621737	5.054799985
2630	3.685077239	5.053629578
2635	3.68384325	5.052423956
2640	3.682771453	5.051313005
2645	3.681765596	5.050395134
2650	3.680750433	5.049266043
2655	3.679587702	5.048096249
2660	3.678654965	5.047098349
2665	3.677701223	5.046006671
2670	3.676633946	5.044907799
2675	3.675827239	5.043988973
2680	3.674661052	5.042766494
2685	3.673575694	5.041663119
2690	3.672506024	5.040561401
2695	3.67146188	5.039340623
2700	3.670324142	5.038172957
2705	3.669257929	5.037081667
2710	3.6683337	5.036047584
2715	3.667233719	5.034881266
2720	3.666388193	5.034036246
2725	3.665320384	5.032900316
2730	3.664344307	5.031898558
2735	3.663346958	5.030756225
2740	3.6623076	5.029711749
2745	3.661327002	5.028665998
2750	3.660194583	5.027419907
2755	3.658973888	5.026081882
2760	3.657925489	5.024980135
2765	3.656898893	5.023967271
2770	3.655609333	5.02260461
2775	3.654679786	5.021614988
2780	3.653703975	5.020604834
2785	3.65268376	5.019467559
2790	3.651695186	5.018391487
2795	3.650610892	5.017260706
2800	3.649566216	5.016104226
2805	3.648329568	5.014844622
2810	3.647222673	5.013648341
2815	3.64618039	5.012550438
2820	3.645255363	5.011543127
2825	3.644257749	5.010418229
2830	3.643374733	5.009407092
2835	3.642654441	5.008599606
2840	3.641612157	5.007520561
2845	3.640576255	5.006413667
2850	3.63957678	5.005329477
2855	3.63874056	5.004374693
2860	3.637843186	5.003471593
2865	3.636836531	5.002413128
2870	3.635887575	5.001336364
2875	3.634947127	5.000292549
2880	3.633971581	4.99918299
2885	3.63302555	4.998181496
2890	3.632005069	4.997092327
2895	3.631043616	4.996008668
2900	3.630070463	4.995077866
2905	3.62882185	4.993655994
2910	3.627883529	4.992552203
2915	3.626827419	4.991376575
2920	3.6258088	4.990321299
2925	3.624811452	4.989231906
2930	3.623794959	4.988093022
2935	3.622909018	4.987129181
2940	3.621972825	4.986173258
2945	3.621045671	4.985084879
2950	3.620107882	4.984042355
2955	3.619159989	4.983017755
2960	3.618148814	4.981999989
2965	3.617254365	4.981043936
2970	3.616333858	4.980036445
2975	3.615423456	4.979054596
2980	3.614463863	4.978026833
2985	3.613619933	4.977163186
2990	3.612708733	4.976196372
2995	3.611737973	4.975235356
3000	3.610807629	4.974234172
3005	3.610042135	4.973445141
3010	3.609157524	4.972483593
3015	3.60821548	4.971442277
3020	3.607296835	4.97051522
3025	3.606485875	4.969597406
3030	3.605714532	4.968722019
3035	3.604789239	4.967765338
3040	3.603925101	4.966770357
3045	3.603074789	4.965866415
3050	3.602270742	4.96504585
3055	3.601331889	4.963975121
3060	3.600354483	4.962898804
3065	3.599347031	4.961827826
3070	3.598462685	4.960854379
3075	3.597503359	4.959873879
3080	3.596620874	4.9590253
3085	3.595752748	4.958139037
3090	3.594841282	4.957095781
3095	3.594099718	4.956272691
3100	3.593252065	4.955339147
3105	3.592361604	4.954312261
3110	3.591434982	4.953327675
3115	3.590562602	4.952426648
3120	3.589785675	4.951569704
3125	3.588869689	4.95057555
3130	3.588005285	4.949588717
3135	3.58699092	4.948449951
3140	3.586161613	4.94761188
3145	3.585282851	4.946651546
3150	3.584561495	4.945815751
3155	3.583730859	4.944927336
3160	3.583148563	4.944199237
3165	3.582397427	4.94343252
3170	3.581563335	4.942541524
3175	3.580766998	4.941673397
3180	3.579917484	4.940734942
3185	3.578977568	4.939765735
3190	3.578082587	4.93877222
3195	3.577282528	4.937900629
3200	3.576527936	4.937064215
3205	3.575712721	4.936194693
3210	3.574790885	4.935221794
3215	3.574015288	4.93451748
3220	3.573246072	4.933655054
3225	3.572401078	4.932731676
3230	3.571529761	4.931817398
3235	3.57080548	4.930960971
3240	3.570096621	4.930179467
3245	3.569334584	4.929342821
3250	3.568429499	4.928322171
3255	3.567561905	4.927303036
3260	3.566822469	4.926516419
3265	3.566034906	4.925748461
3270	3.565193369	4.924865496
3275	3.564418303	4.9240057
3280	3.563574905	4.92315245
3285	3.562732038	4.922285873
3290	3.561997653	4.921517254
3295	3.561200253	4.920549666
3300	3.560465603	4.919683495
3305	3.55964055	4.918770035
3310	3.558807521	4.917929069
3315	3.557905627	4.917025449
3320	3.557063026	4.916166878
3325	3.556228402	4.915276782
3330	3.555597182	4.914517888
3335	3.554871306	4.913732471
3340	3.553946279	4.912843233
3345	3.553135053	4.91196964
3350	3.5522648	4.911002553
3355	3.551484948	4.910241482
3360	3.550755616	4.909464696
3365	3.549867548	4.908493215
3370	3.54903638	4.90765764
3375	3.548308377	4.906893666
3380	3.547528259	4.906011643
3385	3.546925224	4.905360158
3390	3.546146968	4.904511255
3395	3.545462039	4.903792987
3400	3.544667298	4.902919517
3405	3.543871759	4.902040902
3410	3.543077549	4.901151278
3415	3.54226845	4.900295569
3420	3.541538852	4.899469015
3425	3.540783728	4.898609104
3430	3.539987657	4.897847844
3435	3.539252209	4.897077128
3440	3.538380892	4.896124477
3445	3.537725743	4.895386078
3450	3.536875431	4.894536749
3455	3.536155404	4.893730086
3460	3.535309613	4.892840473
3465	3.53467148	4.892174408
3470	3.53383074	4.891297993
3475	3.533121881	4.890624106
3480	3.532342827	4.889799615
3485	3.53164354	4.889021321
3490	3.53098068	4.888285765
3495	3.530148448	4.887331401
3500	3.529447034	4.886590367
3505	3.528703609	4.885815916
3510	3.528057766	4.885052445
3515	3.527468823	4.88435701
3520	3.52669748	4.883558466
3525	3.526012816	4.882864343
3530	3.525311934	4.882091479
3535	3.524649339	4.881298448
3540	3.523913891	4.880570663
3545	3.523277354	4.879845602
3550	3.522551744	4.879155747
3555	3.521692392	4.8782916
3560	3.520825329	4.877256778
3565	3.52010158	4.876468849
3570	3.519379427	4.875712858
3575	3.518679874	4.874945405
3580	3.518026585	4.87428344
3585	3.517320651	4.873581886
3590	3.516779567	4.873009439
3595	3.516094372	4.872324946
3600	3.51535919	4.871518972
3605	3.514653522	4.870737538
3610	3.513997043	4.870036128
3615	3.513360239	4.869366288
3620	3.512636491	4.868568344
3625	3.511807982	4.867710184
3630	3.511162404	4.867054446
3635	3.510528791	4.866316007
3640	3.509844394	4.865566089
3645	3.509095386	4.864839667
3650	3.508581157	4.864201471
3655	3.507878413	4.863398087
3660	3.507191889	4.862641158
3665	3.506484891	4.861888267
3670	3.50587122	4.861247277
3675	3.50523681	4.860549093
3680	3.504614099	4.859876851
3685	3.504000693	4.859201889
3690	3.503346873	4.858474077
3695	3.502642002	4.857716162
3700	3.50184673	4.856872727
3705	3.501225614	4.856217935
3710	3.500535633	4.855529541
3715	3.49990787	4.854917067
3720	3.499355885	4.854309993
3725	3.498697013	4.853523817
3730	3.498016604	4.852822111
3735	3.497288335	4.852079971
3740	3.496642225	4.851436809
3745	3.496065247	4.850780844
3750	3.495399728	4.850061856
3755	3.494706822	4.849379168
3760	3.493903572	4.848591973
3765	3.493166795	4.847837558
3770	3.49255658	4.847222576
3775	3.491895581	4.846537733
3780	3.491153486	4.845739102
3785	3.490467493	4.845018488
3790	3.489816864	4.844279983
3795	3.489091254	4.843499645
3800	3.488535281	4.8428683
3805	3.487840248	4.842160657
3810	3.487220727	4.841476635
3815	3.486462945	4.840749014
3820	3.485869215	4.840086547
3825	3.485156102	4.839323115
3830	3.484543229	4.838646385
3835	3.483861224	4.837958569
3840	3.483110355	4.83717919
3845	3.482411865	4.836397046
3850	3.481701677	4.835684717
3855	3.481106884	4.835058071
3860	3.480515016	4.834476222
3865	3.479786481	4.83385734
3870	3.479218277	4.833240139
3875	3.478605138	4.832611195
3880	3.478046506	4.832077475
3885	3.477365565	4.831315859
3890	3.476682231	4.830586708
3895	3.47603878	4.829897524
3900	3.475463929	4.829288626
3905	3.474866477	4.828709607
3910	3.474278332	4.827989534
3915	3.473648176	4.82731408
3920	3.472987176	4.826577714
3925	3.472390256	4.825962888
3930	3.471682727	4.82517584
3935	3.471108939	4.824594784
3940	3.470475326	4.823891295
3945	3.469964554	4.823385054
3950	3.46928255	4.822664628
3955	3.468590974	4.821944977
3960	3.468048827	4.821350516
3965	3.467378256	4.820640597
3970	3.466832652	4.820068261
3975	3.466274286	4.819454149
3980	3.465636419	4.818705105
3985	3.46506529	4.818074484
3990	3.464385679	4.817407795
3995	3.463773869	4.81668228
4000	3.463069264	4.815909175
4005	3.462482182	4.815302263
4010	3.461902279	4.814644026
4015	3.461415437	4.814104779
4020	3.460847233	4.81353719
4025	3.460259885	4.812872966
4030	3.459688224	4.812361147
4035	3.459146609	4.811791142
4040	3.458531343	4.81119189
4045	3.457993716	4.810589689
4050	3.457312775	4.809974146
4055	3.456641406	4.809287536
4060	3.456031458	4.808630024
4065	3.455482664	4.808073513
4070	3.454885212	4.8074634
4075	3.454374972	4.806868918
4080	3.453767948	4.806253784
4085	3.453096579	4.805578815
4090	3.452530236	4.804969713
4095	3.451975061	4.804364519
4100	3.451406591	4.803740872
4105	3.450853011	4.803166522
4110	3.450278159	4.802632409
4115	3.449652789	4.801930353
4120	3.448949248	4.801162404
4125	3.448455759	4.800575561
4130	3.447873463	4.799845729
4135	3.44726245	4.799224819
4140	3.446528864	4.798405458
4145	3.446053987	4.797926011
4150	3.445477008	4.797289111
4155	3.444887267	4.796671196
4160	3.444271469	4.796014394
4165	3.443803239	4.795455309
4170	3.443379944	4.794964033
4175	3.442592116	4.794060973
4180	3.442069645	4.793491233
4185	3.441417686	4.792811139
4190	3.440806674	4.792125621
4195	3.440308399	4.791534564
4200	3.439746842	4.790940326
4205	3.439241388	4.790423721
4210	3.438661485	4.789836006
4215	3.438080252	4.789218684
4220	3.437404097	4.788425153
4225	3.436850783	4.787821199
4230	3.436302521	4.787210726
4235	3.435766223	4.786592177
4240	3.435164517	4.785992436
4245	3.434699212	4.785448405
4250	3.43406879	4.784886974
4255	3.433495534	4.784274793
4260	3.432903666	4.783693883
4265	3.432331208	4.783120017
4270	3.431716739	4.782483147
4275	3.431245319	4.782017894
4280	3.430617556	4.781343509
4285	3.430135765	4.780795389
4290	3.429648392	4.780301938
4295	3.429182821	4.779820452
4300	3.428688002	4.779229654
4305	3.428169785	4.778663709
4310	3.427429817	4.777859298
4315	3.426834758	4.777215271
4320	3.426256184	4.77662749
4325	3.425795399	4.776124924
4330	3.425310684	4.775567297
4335	3.424823842	4.774991118
4340	3.424179594	4.774316408
4345	3.423647551	4.773742752
4350	3.423061	4.773060735
4355	3.422521778	4.772489602
4360	3.422012602	4.77188898
4365	3.421364631	4.771177051
4370	3.420810785	4.770602348
4375	3.420251621	4.769987665
4380	3.419677036	4.769392749
4385	3.41920402	4.76892778
4390	3.41865948	4.76833251
4395	3.418129032	4.767764825
4400	3.417587417	4.767181456
4405	3.417000335	4.766577265
4410	3.416577572	4.766121171
4415	3.416084614	4.765579111
4420	3.415571183	4.765123368
4425	3.415019198	4.764443912
4430	3.41459936	4.764043425
4435	3.414172077	4.763615666
4440	3.413665294	4.763145891
4445	3.413163296	4.762586744
4450	3.412654917	4.762035126
4455	3.412023963	4.761369078
4460	3.411443262	4.760815978
4465	3.411013586	4.760377428
4470	3.41051664	4.759862422
4475	3.41007367	4.759402555
4480	3.40949935	4.758776145
4485	3.408893922	4.758133335
4490	3.40838767	4.757593048
4495	3.407820529	4.756939122
4500	3.407258175	4.756340115
4505	3.4066913	4.755736112
4510	3.406198875	4.755145452
4515	3.405673745	4.754633234
4520	3.405197272	4.754128343
4525	3.404731701	4.753669041
4530	3.404161104	4.753098039
4535	3.403641292	4.752511303
4540	3.403183963	4.751988506
4545	3.402740461	4.751530116
4550	3.402175714	4.750961543
4555	3.401669727	4.750523427
4560	3.401127049	4.749972871
4565	3.400549007	4.749370521
4570	3.400066685	4.748896201
4575	3.399643656	4.748511425
4580	3.39913315	4.748026044
4585	3.398652423	4.747525379
4590	3.398153616	4.747047066
4595	3.39757132	4.746430452
4600	3.397102824	4.745852081
4605	3.396572376	4.745293138
4610	3.396069315	4.744720903
4615	3.395537006	4.744091433
4620	3.395017194	4.743580264
4625	3.394505092	4.742996836
4630	3.394090838	4.742573009
4635	3.393588574	4.742022426
4640	3.3931581	4.741614214
4645	3.392701835	4.74105679
4650	3.392218716	4.740467891
4655	3.391764312	4.739928732
4660	3.391302463	4.739507324
4665	3.390802859	4.738933718
4670	3.390318941	4.738465536
4675	3.389848319	4.738019979
4680	3.38945826	4.737591442
4685	3.389020607	4.737067222
4690	3.388613532	4.736617942
4695	3.388106482	4.736087551
4700	3.387588797	4.73554677
4705	3.38706154	4.735015586
4710	3.386606604	4.734553082
4715	3.386151403	4.734073907
4720	3.385666688	4.733501665
